task_id,artwork_slug,title,source_record_url,image_source_page_url,image_url,file_rights_statement,file_rights_uri,object_metadata_checked,preview_visually_checked,review_decision,publication_policy_url,automatic_import_ready,reason,reviewed_at
0fe8e3c6-fd35-534e-91da-b9699f1e5c42,wikimedia-artwork-q1112111,Portrait of a Young Fürleger with Loose Hair,https://sammlung.staedelmuseum.de/en/work/portrait-of-a-young-woman-with-her-hair-down,https://commons.wikimedia.org/wiki/File:Portrait_of_a_Young_Woman_with_Her_Hair_Down_(SM_937).png,https://upload.wikimedia.org/wikipedia/commons/7/7f/Portrait_of_a_Young_Woman_with_Her_Hair_Down_%28SM_937%29.png,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,true,true,rights_conflict,,false,"Commons visible licence says PDM-owner, while structured file data lists CC BY-SA 4.0 and copyrighted. The museum separately labels its reproduction Public Domain. Resolve the exact Commons-file discrepancy or verify a museum-direct alternative.",2026-09-15T19:40:08.151611+00:00
3a973386-8e2f-4c11-8f1e-c3c9b2a77383,uffizi-Q1328065-portrait-of-eleonora-di-toledo-with-her-son-giovanni,Portrait of Eleonora di Toledo with her son Giovanni,https://www.uffizi.it/en/artworks/eleonora-di-toledo,https://commons.wikimedia.org/wiki/File:Bronzino_-_Eleonora_di_Toledo_col_figlio_Giovanni_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Bronzino_-_Eleonora_di_Toledo_col_figlio_Giovanni_-_Google_Art_Project.jpg,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/deed.en,true,true,institutional_publication_review,https://www.uffizi.it/en/professional-services/publications,false,"The Commons resource has the stated PDM/CC0 notice, and the preview matches the museum object. Uffizi publishes a separate image-use authorization process, including images already possessed by applicants. Applicability to Artline publication is not established here; retain for review rather than treating the file licence as comprehensive clearance.",2026-09-15T19:40:08.151611+00:00
053b2f41-416a-4fee-bd14-dca3a3dc2168,europe-uffizi-bfb84830316d-bacchus,Bacchus,https://www.uffizi.it/en/artworks/caravaggio-bacchus,"https://commons.wikimedia.org/wiki/File:Baco,_por_Caravaggio.jpg",https://upload.wikimedia.org/wikipedia/commons/9/96/Baco%2C_por_Caravaggio.jpg,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/deed.en,true,true,institutional_publication_review,https://www.uffizi.it/en/professional-services/publications,false,"The Commons resource has the stated PDM/CC0 notice, and the preview matches the museum object. Uffizi publishes a separate image-use authorization process, including images already possessed by applicants. Applicability to Artline publication is not established here; retain for review rather than treating the file licence as comprehensive clearance.",2026-09-15T19:40:08.151611+00:00
696db5f8-1775-4444-9dba-73c1968ba586,uffizi-Q1569622-santa-trinita-maesta,Santa Trinita Maestà,https://www.uffizi.it/en/artworks/virgin-and-child-enthroned-and-prophets-santa-trinita-maesta,https://commons.wikimedia.org/wiki/File:Cimabue_-_Maest%C3%A0_di_Santa_Trinita_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4a/Cimabue_-_Maest%C3%A0_di_Santa_Trinita_-_Google_Art_Project.jpg,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/deed.en,true,true,institutional_publication_review,https://www.uffizi.it/en/professional-services/publications,false,"The Commons resource has the stated PDM/CC0 notice, and the preview matches the museum object. Uffizi publishes a separate image-use authorization process, including images already possessed by applicants. Applicability to Artline publication is not established here; retain for review rather than treating the file licence as comprehensive clearance.",2026-09-15T19:40:08.151611+00:00
8bda0648-092a-4d8f-8b8e-30d53c67325f,uffizi-Q3797771-glorification-of-mary-coronation-of-the-virgin,Glorification of Mary (Coronation of the Virgin),https://www.uffizi.it/en/artworks/angelico-glorification,https://commons.wikimedia.org/wiki/File:Fra_Angelico_%E2%80%94_Coronation_of_the_Virgin.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Fra_Angelico_%E2%80%94_Coronation_of_the_Virgin.jpg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,true,true,institutional_publication_review,https://www.uffizi.it/en/professional-services/publications,false,"The Commons resource has the stated PDM/CC0 notice, and the preview matches the museum object. Uffizi publishes a separate image-use authorization process, including images already possessed by applicants. Applicability to Artline publication is not established here; retain for review rather than treating the file licence as comprehensive clearance. The image covers the main panel and gilded ornament, not the reunited predella; retain panel-specific image text.",2026-09-15T19:40:08.151611+00:00
18fdbbe4-a3bc-5739-9706-b3296c96c0ed,wikimedia-artwork-q104522002,Don Juan Bautista de Goicoechea y Urrutia,https://www.kunsthalle-karlsruhe.de/kunstwerke/Francisco-de-Goya/Bildnis-Don-Juan-Bautista-de-Goicoechea-y-Urrutia/4D9598524E5A76E9AEAEF2A6129EA8B3/,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_-_Bildnis_Don_Juan_Bautista_de_Goicoechea_y_Urrutia_-_2515_-_Staatliche_Kunsthalle_Karlsruhe.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Francisco_de_Goya_-_Bildnis_Don_Juan_Bautista_de_Goicoechea_y_Urrutia_-_2515_-_Staatliche_Kunsthalle_Karlsruhe.jpg,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/deed.en,true,false,rate_limited_visual_check,,false,Museum object and Commons PDM statement agree on accession 2515. Direct image retrieval returned HTTP 429 after the provider wait interval; fresh visual inspection remains incomplete. Available source is 640×886.,2026-09-15T19:40:08.151611+00:00
40c4ba5f-3f07-4532-ba67-ac5e82e526e6,uffizi-Q18564202-the-battle-of-san-romano-uffizi-panel,The Battle of San Romano (Uffizi panel),https://www.uffizi.it/en/artworks/battle-of-san-romano,https://commons.wikimedia.org/wiki/File:Uccello_%E2%80%94_the_Battle_of_San_Romano.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Uccello_%E2%80%94_the_Battle_of_San_Romano.jpg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,true,true,institutional_publication_review,https://www.uffizi.it/en/professional-services/publications,false,"The Commons resource has the stated PDM/CC0 notice, and the preview matches the museum object. Uffizi publishes a separate image-use authorization process, including images already possessed by applicants. Applicability to Artline publication is not established here; retain for review rather than treating the file licence as comprehensive clearance.",2026-09-15T19:40:08.151611+00:00
aae9d7a4-7157-40ea-868b-de716b54c9ba,europe-uffizi-7d6d2b93591d-flora,Flora,https://www.uffizi.it/en/artworks/titian-flora,"https://commons.wikimedia.org/wiki/File:Flora,_por_Tiziano.jpg",https://upload.wikimedia.org/wikipedia/commons/2/24/Flora%2C_por_Tiziano.jpg,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/deed.en,true,true,institutional_publication_review,https://www.uffizi.it/en/professional-services/publications,false,"The Commons resource has the stated PDM/CC0 notice, and the preview matches the museum object. Uffizi publishes a separate image-use authorization process, including images already possessed by applicants. Applicability to Artline publication is not established here; retain for review rather than treating the file licence as comprehensive clearance.",2026-09-15T19:40:08.151611+00:00
d4070749-6689-4215-8d89-1b9d009ad550,europe-ng-ec82a88e85e5-a-wheatfield-with-cypresses,"A Wheatfield, with Cypresses",https://www.nationalgallery.org.uk/paintings/vincent-van-gogh-a-wheatfield-with-cypresses,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Wheat_Field_with_Cypresses_(National_Gallery_version).jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Vincent_van_Gogh_-_Wheat_Field_with_Cypresses_%28National_Gallery_version%29.jpg,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/deed.en,true,true,rights_conflict,https://www.nationalgallery.org.uk/terms-of-use,false,"Commons labels this museum-sourced file PDM, while the museum website describes image downloads under CC BY-NC-ND 4.0/non-commercial terms. Resolve applicability to this exact reproduction; do not automatically approve from the Commons label alone.",2026-09-15T19:40:08.151611+00:00
ARTLINE-20260915-MET-438028,,The Crucifixion,https://www.metmuseum.org/art/collection/search/438028,https://www.metmuseum.org/art/collection/search/438028,https://images.metmuseum.org/CRDImages/ep/original/DP-25222-001.jpg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,true,true,selected_image_verified,https://www.metmuseum.org/hubs/open-access,false,Image verification passed. Artwork is a proposed new record; date normalization and a reviewed import remain separate steps. No upload performed.,2026-09-15T19:40:08.151611+00:00
